trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
162,False,"{'a': 0.65, 'e': 0.03916389509898676}",20,0,31.274781656601277,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.65, 'e': 0.038388398017551756}",30,18,21.71050395232595,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.65, 'e': 0.0376282568071759}",20,6,21.912424466383886,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.65, 'e': 0.0368831674012397}",20,1,8.509443504065466,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.65, 'e': 0.03615283175404612}",20,12,13.288848952175092,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.65, 'e': 0.03543695772159834}",25,20,10.589608921822643,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.65, 'e': 0.03473525894473827}",25,14,23.002362510160225,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.65, 'e': 0.03404745473459906}",20,0,26.771571590107737,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.65, 'e': 0.0333732699603258}",35,16,32.885856966367406,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.65, 'e': 0.03271243493901954}",30,0,37.43536845020636,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.65, 'e': 0.0320646853278605}",20,0,19.031111915383576,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.65, 'e': 0.03142976201836744}",25,3,19.399819103168245,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.65, 'e': 0.03080741103275081}",25,0,-8.554987999038687,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
175,False,"{'a': 0.65, 'e': 0.030197383422318237}",25,0,-20.812198327585435,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
176,False,"{'a': 0.65, 'e': 0.02959943516789174}",35,26,14.997516122970698,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.65, 'e': 0.029013327082196796}",20,16,8.067906265762502,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.65, 'e': 0.02843882471418425}",30,4,32.50207811130733,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.65, 'e': 0.027875698255246766}",25,6,30.059439320473526,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.65, 'e': 0.027323722447292313}",25,20,6.993233007017527,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.65, 'e': 0.026782676492637932}",25,17,16.182015433221817,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.65, 'e': 0.02625234396568772}",20,16,7.033251257801544,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
